Player Named,Player Nationality,Player Position,Player Age,90 Minutes Played,Shot-Creating Actions (SCA),Shot-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Goal-Creating Actions (GCA),Goal-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Matches Played
Baltasar Gallego,ar ARG,"FW,MF",19.0,5.2,14.0,2.7,11.0,0.0,2.0,0.0,0.0,1.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Emiliano Saliadarre,ar ARG,"FW,MF",20.0,3.8,6.0,1.58,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Toms Avils,cl CHI,DF,,3.6,,,,,,,,,,,,,,,,,Matches
Nicols Reniero,ar ARG,"FW,MF",27.0,5.0,17.0,3.39,12.0,0.0,0.0,3.0,2.0,0.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,Matches
scar Opazo,cl CHI,DF,32.0,4.9,3.0,0.62,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Matas Tagliamonte,ar ARG,GK,24.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tobas Rubio,ar ARG,"MF,DF",18.0,3.0,8.0,2.67,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Pillud,ar ARG,"DF,MF",36.0,4.5,7.0,1.57,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Agustin Ojeda,ar ARG,FW,18.0,1.9,5.0,2.59,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hctor Frtoli,ar ARG,"FW,MF",28.0,1.6,6.0,3.72,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edwin Cardona,co COL,"FW,MF",30.0,1.0,3.0,2.97,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Cceres,py PAR,DF,22.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Catriel Cabellos,pe PER,"MF,FW",18.0,1.3,5.0,3.98,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Toms Prez,ar ARG,FW,16.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Santino Vera,ar ARG,"MF,FW",16.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Romn Fernndez,ar ARG,FW,17.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ignacio Galvn,ar ARG,DF,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ramiro Degregorio,ar ARG,FW,19.0,0.1,,,,,,,,,,,,,,,,,Matches
Santiago Longo,ar ARG,MF,24.0,26.8,27.0,1.01,23.0,0.0,0.0,2.0,0.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Vegetti,ar ARG,FW,34.0,26.5,43.0,1.63,25.0,0.0,2.0,7.0,8.0,1.0,5.0,0.19,3.0,0.0,0.0,0.0,2.0,0.0,Matches
Nahuel Losada,ar ARG,GK,29.0,25.5,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ulises Snchez,ar ARG,MF,24.0,23.8,74.0,3.11,43.0,16.0,8.0,3.0,3.0,1.0,7.0,0.29,4.0,2.0,1.0,0.0,0.0,0.0,Matches
Alejandro Rbola,ar ARG,DF,34.0,23.0,11.0,0.48,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Zapelli,ar ARG,"MF,FW",20.0,20.2,62.0,3.07,48.0,1.0,6.0,3.0,4.0,0.0,6.0,0.3,5.0,0.0,0.0,1.0,0.0,0.0,Matches
Nicols Meriano,ar ARG,DF,22.0,17.4,11.0,0.63,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Barinaga,ar ARG,DF,22.0,13.7,21.0,1.53,14.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erik Godoy,ar ARG,DF,29.0,14.4,9.0,0.62,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.21,1.0,0.0,0.0,2.0,0.0,0.0,Matches
Matias Ibacache,cl CHI,DF,24.0,12.0,15.0,1.25,11.0,4.0,0.0,0.0,0.0,0.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Ariel Rojas,ar ARG,MF,37.0,11.7,31.0,2.65,24.0,7.0,0.0,0.0,0.0,0.0,5.0,0.43,4.0,1.0,0.0,0.0,0.0,0.0,Matches
Franco Jara,ar ARG,FW,34.0,9.9,25.0,2.53,16.0,0.0,1.0,2.0,6.0,0.0,3.0,0.3,2.0,0.0,0.0,1.0,0.0,0.0,Matches
Lucas Diarte,ar ARG,DF,29.0,10.8,20.0,1.85,17.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Compagnucci,ar ARG,"DF,MF",31.0,10.8,30.0,2.78,20.0,7.0,0.0,0.0,2.0,1.0,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Matas Garca,ar ARG,MF,31.0,8.2,31.0,3.79,15.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tomas Castro,ar ARG,MF,20.0,4.6,7.0,1.53,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Ortigoza,ar ARG,"FW,MF",27.0,4.5,13.0,2.91,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,1.0,0.0,Matches
Guillermo Pereira,ar ARG,"DF,MF",29.0,5.8,13.0,2.25,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17,0.0,0.0,1.0,0.0,0.0,0.0,Matches
Matias Moreno,ar ARG,DF,19.0,3.1,2.0,0.64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ibrahim Hesar,sy SYR,"MF,FW",29.0,5.9,9.0,1.53,4.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Novaretti,ar ARG,DF,37.0,2.6,2.0,0.78,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabin Bordagaray,ar ARG,"FW,MF",35.0,2.6,5.0,1.9,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.38,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Barrea,ar ARG,FW,21.0,2.1,4.0,1.87,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mariano Mio,ar ARG,MF,28.0,1.8,8.0,4.53,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manuel Vicentini,ar ARG,GK,32.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francisco Oliver,ar ARG,DF,27.0,1.1,3.0,2.62,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joaqun Susvielles,ar ARG,"FW,DF",31.0,2.0,1.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Ramrez,ar ARG,MF,32.0,1.6,,,,,,,,,,,,,,,,,Matches
Gernimo Tomasetti,ar ARG,MF,22.0,0.6,1.0,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrs Felipe Amaya,co COL,"FW,MF",21.0,0.3,,,,,,,,,,,,,,,,,Matches
Francisco Facello,ar ARG,DF,20.0,0.2,1.0,4.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Facundo Lencioni,ar ARG,MF,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Hoyos,ar ARG,GK,33.0,27.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Sforza,ar ARG,MF,20.0,20.9,25.0,1.2,23.0,1.0,1.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Jorge Eduardo Recalde,py PAR,FW,30.0,20.4,41.0,2.01,34.0,0.0,0.0,5.0,2.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Gmez,ar ARG,MF,25.0,19.5,37.0,1.89,33.0,0.0,3.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jherson Mosquera,co COL,DF,23.0,18.9,25.0,1.33,22.0,0.0,2.0,0.0,1.0,0.0,2.0,0.11,1.0,0.0,1.0,0.0,0.0,0.0,Matches
Gustavo Velsquez,py PAR,DF,31.0,17.6,13.0,0.74,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Ferreira,ar ARG,MF,23.0,17.0,54.0,3.18,27.0,12.0,4.0,2.0,9.0,0.0,6.0,0.35,1.0,3.0,0.0,1.0,1.0,0.0,Matches
Ramiro Sordo,ar ARG,"FW,MF",22.0,16.4,47.0,2.86,25.0,12.0,4.0,1.0,5.0,0.0,3.0,0.18,0.0,2.0,0.0,0.0,1.0,0.0,Matches
Willer Ditta,co COL,DF,26.0,16.2,12.0,0.74,11.0,0.0,0.0,0.0,1.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Pittn,ar ARG,DF,29.0,15.4,21.0,1.37,16.0,3.0,0.0,1.0,0.0,1.0,2.0,0.13,1.0,1.0,0.0,0.0,0.0,0.0,Matches
Brian Aguirre,ar ARG,FW,19.0,14.8,55.0,3.72,30.0,6.0,9.0,5.0,5.0,0.0,7.0,0.47,2.0,2.0,0.0,2.0,1.0,0.0,Matches
Guillermo Ortiz,ar ARG,DF,30.0,12.9,8.0,0.62,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zahir Mansilla,ar ARG,DF,23.0,11.1,,,,,,,,,,,,,,,,,Matches
Marcos Portillo,ar ARG,"MF,FW",23.0,10.4,31.0,3.0,21.0,7.0,1.0,1.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Matches
ngelo Martino,ar ARG,"DF,MF",24.0,8.6,10.0,1.16,6.0,1.0,0.0,1.0,2.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,1.0,0.0,Matches
Armando Mndez,uy URU,"DF,MF",26.0,7.8,14.0,1.79,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jeremas Prez Tica,ar ARG,FW,19.0,8.1,23.0,2.85,17.0,0.0,1.0,3.0,1.0,1.0,4.0,0.5,3.0,0.0,0.0,1.0,0.0,0.0,Matches
Djorkaeff Reasco,ec ECU,"FW,MF",24.0,7.4,13.0,1.75,8.0,0.0,1.0,4.0,0.0,0.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Lisandro Montenegro,ar ARG,MF,19.0,6.8,17.0,2.5,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jony,ar ARG,"FW,MF",28.0,4.2,8.0,1.91,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Prez,ar ARG,MF,37.0,4.3,18.0,4.21,14.0,0.0,1.0,1.0,2.0,0.0,3.0,0.7,1.0,0.0,0.0,0.0,2.0,0.0,Matches
Guillermo Balzi,ar ARG,"MF,FW",21.0,2.1,4.0,1.9,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francisco Gonzlez,ar ARG,"FW,MF",21.0,1.7,2.0,1.15,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.58,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Justo Giani,ar ARG,"MF,FW",23.0,1.3,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Sotelo,ar ARG,MF,19.0,1.1,1.0,0.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ian Glavinovich,ar ARG,DF,21.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonel Vangioni,ar ARG,DF,35.0,1.0,6.0,6.07,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.01,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Genaro Rossi,ar ARG,FW,20.0,0.6,1.0,1.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julin Contrera,ar ARG,"FW,MF",19.0,0.7,3.0,4.15,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nazareno Funez,ar ARG,FW,21.0,0.4,,,,,,,,,,,,,,,,,Matches
Fabrizio Sartori,ar ARG,FW,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcelo Esponda,ar ARG,MF,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Tapia,ar ARG,MF,24.0,26.8,71.0,2.65,34.0,31.0,0.0,4.0,2.0,0.0,7.0,0.26,0.0,6.0,0.0,0.0,1.0,0.0,Matches
Francisco lvarez,ar ARG,DF,22.0,25.0,12.0,0.48,7.0,1.0,0.0,1.0,1.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrs Desbato,ar ARG,GK,32.0,24.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,Matches
Bruno Seplveda,ar ARG,FW,30.0,21.9,46.0,2.11,29.0,0.0,3.0,5.0,9.0,0.0,4.0,0.18,1.0,0.0,1.0,0.0,2.0,0.0,Matches
Facundo Mater,ar ARG,"MF,DF",24.0,20.9,39.0,1.87,23.0,0.0,4.0,5.0,2.0,5.0,5.0,0.24,3.0,0.0,0.0,1.0,0.0,1.0,Matches
Mauro Peinipil,ar ARG,"DF,MF",23.0,19.9,17.0,0.85,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Ignacio Daz,ar ARG,DF,24.0,19.4,28.0,1.44,17.0,4.0,2.0,2.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Arce,ar ARG,MF,32.0,16.5,19.0,1.15,17.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian Calderara,ar ARG,"DF,MF",24.0,15.9,,,,,,,,,,,,,,,,,Matches
Nicols Capraro,ar ARG,DF,24.0,16.8,10.0,0.6,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Insa,ar ARG,DF,25.0,15.6,37.0,2.37,22.0,3.0,5.0,2.0,4.0,1.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Herrera,ar ARG,MF,22.0,12.8,18.0,1.4,15.0,0.0,0.0,2.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Colitto,ar ARG,MF,28.0,9.0,25.0,2.76,16.0,1.0,4.0,2.0,2.0,0.0,2.0,0.22,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Alexis Dominguez,ar ARG,FW,26.0,8.4,10.0,1.2,7.0,0.0,0.0,3.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Ricardo Centurin,ar ARG,"FW,MF",30.0,6.2,13.0,2.1,8.0,1.0,1.0,1.0,2.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando Prado,uy URU,DF,21.0,4.6,3.0,0.65,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcos Bentez,ar ARG,"MF,FW",21.0,6.6,17.0,2.55,10.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Agustn Dttola,ar ARG,DF,23.0,3.8,,,,,,,,,,,,,,,,,Matches
Maximiliano Rodrguez,ar ARG,"DF,MF",34.0,5.4,11.0,2.02,8.0,0.0,0.0,1.0,2.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,1.0,0.0,Matches
Maximiliano Puig,ar ARG,MF,22.0,3.5,6.0,1.74,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guido Villar,ar ARG,GK,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Cantero,ar ARG,"FW,MF",24.0,5.6,9.0,1.6,4.0,0.0,1.0,2.0,2.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,1.0,0.0,Matches
Nicols Tolosa,ar ARG,"MF,DF",21.0,1.8,3.0,1.65,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Franco Fras,ar ARG,FW,20.0,1.3,3.0,2.29,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Lpez,ar ARG,MF,25.0,0.9,1.0,1.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julin Viollaz,ar ARG,"FW,MF",20.0,0.5,1.0,2.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin Quejada,co COL,FW,20.0,0.4,,,,,,,,,,,,,,,,,Matches
Manuel Brondo,,FW,,0.1,,,,,,,,,,,,,,,,,Matches
Alex Jurez,ar ARG,MF,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Mastronicola,ar ARG,DF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonzalo Marinelli,ar ARG,GK,33.0,25.0,6.0,0.24,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian Luciatti,ar ARG,DF,29.0,22.7,16.0,0.71,13.0,0.0,0.0,3.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Mateo Retegui,it ITA,FW,23.0,19.9,50.0,2.51,25.0,0.0,6.0,10.0,8.0,1.0,5.0,0.25,1.0,0.0,1.0,2.0,1.0,0.0,Matches
Facundo Colidio,ar ARG,"MF,FW",23.0,18.5,90.0,4.85,54.0,1.0,12.0,6.0,16.0,1.0,4.0,0.22,3.0,0.0,1.0,0.0,0.0,0.0,Matches
Alexis Castro,ar ARG,"MF,FW",28.0,16.6,75.0,4.51,42.0,24.0,6.0,3.0,0.0,0.0,4.0,0.24,2.0,2.0,0.0,0.0,0.0,0.0,Matches
Lucas Menossi,ar ARG,"MF,FW",30.0,16.9,65.0,3.84,46.0,12.0,5.0,1.0,0.0,1.0,4.0,0.24,3.0,0.0,0.0,1.0,0.0,0.0,Matches
Blas Armoa,py PAR,"FW,MF",22.0,15.9,55.0,3.47,35.0,0.0,4.0,7.0,7.0,2.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Sebastin Prieto,ar ARG,DF,29.0,16.2,41.0,2.53,32.0,5.0,2.0,2.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Blondel,ar ARG,DF,26.0,13.9,42.0,3.02,30.0,8.0,3.0,1.0,0.0,0.0,3.0,0.22,2.0,1.0,0.0,0.0,0.0,0.0,Matches
Emanuel Aguilera,ar ARG,DF,33.0,14.0,4.0,0.29,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Aaron Nicols Molinas,ar ARG,"MF,FW",22.0,13.1,72.0,5.52,51.0,11.0,2.0,7.0,0.0,1.0,5.0,0.38,2.0,0.0,0.0,3.0,0.0,0.0,Matches
Sebastin Prediger,ar ARG,MF,36.0,12.4,19.0,1.54,15.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Agustn Cardozo,ar ARG,MF,25.0,15.0,25.0,1.67,17.0,0.0,2.0,2.0,3.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Vctor Cabrera,ar ARG,DF,29.0,11.7,6.0,0.51,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Zabala,ar ARG,MF,24.0,11.7,31.0,2.64,24.0,2.0,0.0,3.0,2.0,0.0,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Lautaro Montoya,ar ARG,DF,28.0,8.5,22.0,2.6,15.0,3.0,2.0,0.0,2.0,0.0,1.0,0.12,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Martn Ortega,ar ARG,"DF,MF",23.0,8.3,15.0,1.8,12.0,0.0,2.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian Alexis Leizza,ar ARG,DF,22.0,8.8,4.0,0.46,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Toms Badaloni,ar ARG,FW,22.0,7.5,16.0,2.14,14.0,0.0,0.0,0.0,2.0,0.0,3.0,0.4,2.0,0.0,0.0,0.0,1.0,0.0,Matches
Martin Garay,ar ARG,"DF,MF",23.0,7.6,17.0,2.24,15.0,0.0,2.0,0.0,0.0,0.0,3.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonzalo Flores,ar ARG,"FW,MF",20.0,4.4,8.0,1.8,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.23,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Santiago Rojas,py PAR,GK,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ezequiel Forclaz,ar ARG,"MF,FW",19.0,2.0,11.0,5.56,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Agustn Obando,ar ARG,"MF,FW",22.0,2.4,6.0,2.51,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sebastin Medina,ar ARG,MF,22.0,1.3,3.0,2.21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateo Caceres,ar ARG,FW,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ijiel Protti,ar ARG,MF,28.0,0.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicols Castro,ar ARG,MF,32.0,22.1,,,,,,,,,,,,,,,,,Matches
Ramiro Macagno,ar ARG,GK,25.0,22.0,6.0,0.27,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sasha Marcich,ar ARG,"DF,MF",24.0,21.1,40.0,1.9,23.0,9.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vicente Taborda,ar ARG,"MF,FW",21.0,19.7,86.0,4.37,48.0,17.0,11.0,1.0,8.0,1.0,8.0,0.41,4.0,1.0,1.0,0.0,2.0,0.0,Matches
Nicols Servetto,ar ARG,FW,26.0,18.1,32.0,1.77,23.0,0.0,2.0,4.0,3.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Ronaldo Martnez,py PAR,"FW,MF",26.0,16.4,31.0,1.89,24.0,0.0,2.0,5.0,0.0,0.0,5.0,0.3,3.0,0.0,0.0,2.0,0.0,0.0,Matches
Ignacio Vzquez,ar ARG,DF,25.0,17.9,,,,,,,,,,,,,,,,,Matches
Marco Pellegrino,,DF,,16.9,6.0,0.35,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicols Morgantini,ar ARG,DF,28.0,16.7,28.0,1.67,21.0,4.0,1.0,2.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Rossi,ar ARG,MF,29.0,14.6,14.0,0.96,8.0,1.0,0.0,2.0,2.0,1.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,Matches
